[KVCache:finish remote send][RANK 3] remote_send time =0.0017132759094238281,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0011506080627441406,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0012888908386230469,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.002353668212890625,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.003438234329223633,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.004703998565673828,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.0034720897674560547,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.001173257827758789,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.001922607421875,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0031614303588867188,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0034575462341308594,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0011622905731201172,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0020673274993896484,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.001260995864868164,token_num=17
[KVCache:finish local move][RANK 3] local_shared time =0.0035457611083984375,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0024788379669189453,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0014903545379638672,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0065915584564208984,token_num=96
[KVCache:finish remote send][RANK 3] remote_send time =0.0012969970703125,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0011489391326904297,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0010635852813720703,token_num=21
[KVCache:finish remote send][RANK 3] remote_send time =0.0014162063598632812,token_num=151
[KVCache:finish remote send][RANK 3] remote_send time =0.0030231475830078125,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0024595260620117188,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.0037975311279296875,token_num=80
[KVCache:finish remote send][RANK 3] remote_send time =0.00347137451171875,token_num=80
[KVCache:finish remote send][RANK 3] remote_send time =0.003510713577270508,token_num=14
[KVCache:finish local move][RANK 3] local_shared time =0.005033016204833984,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0049190521240234375,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.002635955810546875,token_num=16
[KVCache:finish local move][RANK 3] local_shared time =0.0056073665618896484,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0029888153076171875,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0026094913482666016,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.005048274993896484,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.001203298568725586,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0015764236450195312,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.00376129150390625,token_num=96
[KVCache:finish remote send][RANK 3] remote_send time =0.0017058849334716797,token_num=102
[KVCache:finish remote send][RANK 3] remote_send time =0.0009243488311767578,token_num=102
[KVCache:finish remote send][RANK 3] remote_send time =0.001489877700805664,token_num=102
[KVCache:finish remote send][RANK 3] remote_send time =0.0031032562255859375,token_num=102
[KVCache:finish remote send][RANK 3] remote_send time =0.003293275833129883,token_num=18
[KVCache:finish remote send][RANK 3] remote_send time =0.0017414093017578125,token_num=18
[KVCache:finish local move][RANK 3] local_shared time =0.0043981075286865234,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.0017006397247314453,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.004084348678588867,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.001848459243774414,token_num=5
[KVCache:finish local move][RANK 3] local_shared time =0.004382610321044922,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.002922534942626953,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.002476215362548828,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.004117727279663086,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.00148773193359375,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.0017499923706054688,token_num=12
[KVCache:finish local move][RANK 3] local_shared time =0.0026311874389648438,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.0012814998626708984,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.004358530044555664,token_num=59
[KVCache:finish remote send][RANK 3] remote_send time =0.0023674964904785156,token_num=59
[KVCache:finish remote send][RANK 3] remote_send time =0.004050254821777344,token_num=59
[KVCache:finish remote send][RANK 3] remote_send time =0.0026285648345947266,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0012497901916503906,token_num=17
[KVCache:finish local move][RANK 3] local_shared time =0.003347635269165039,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0019142627716064453,token_num=17
[KVCache:finish local move][RANK 3] local_shared time =0.003423452377319336,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.0032989978790283203,token_num=8
