shared once time: 0.23232245445251465s,token_num:3799, throughput: 0.4688523468671584 GB/s
e2e shared once time: 0.02346634864807129s,token_num:3597, throughput: 4.394939559907909 GB/s
e2e shared once time: 0.005545616149902344s,token_num:4446, throughput: 22.986753600363198 GB/s
e2e shared once time: 0.009485006332397461s,token_num:3335, throughput: 10.081292162493526 GB/s
e2e shared once time: 0.004791259765625s,token_num:3136, throughput: 18.76654500035669 GB/s
e2e shared once time: 0.0043718814849853516s,token_num:3370, throughput: 22.101385943750884 GB/s
e2e shared once time: 0.0059812068939208984s,token_num:4540, throughput: 21.76331337615179 GB/s
e2e shared once time: 0.00609278678894043s,token_num:3284, throughput: 15.45415115639961 GB/s
e2e shared once time: 0.004615068435668945s,token_num:4014, throughput: 24.93774677543173 GB/s
e2e shared once time: 0.004663228988647461s,token_num:3631, throughput: 22.325309834333453 GB/s
e2e shared once time: 0.004419803619384766s,token_num:3648, throughput: 23.665181760849283 GB/s
e2e shared once time: 0.014892816543579102s,token_num:4128, throughput: 7.94732249965363 GB/s
e2e shared once time: 0.006043672561645508s,token_num:4009, throughput: 19.0192381912735 GB/s
e2e shared once time: 0.0047185420989990234s,token_num:3299, throughput: 20.046218941241573 GB/s
e2e shared once time: 0.004818439483642578s,token_num:4529, throughput: 26.94969781001247 GB/s
e2e shared once time: 0.006865978240966797s,token_num:4552, throughput: 19.00893644277297 GB/s
e2e shared once time: 0.0056667327880859375s,token_num:3891, throughput: 19.687314749436553 GB/s
e2e shared once time: 0.0067822933197021484s,token_num:3759, throughput: 15.891092130579393 GB/s
e2e shared once time: 0.011750936508178711s,token_num:3539, throughput: 8.635074143186479 GB/s
e2e shared once time: 0.005259513854980469s,token_num:3849, throughput: 20.98264802468323 GB/s
e2e shared once time: 0.00942087173461914s,token_num:3777, throughput: 11.495129861714227 GB/s
e2e shared once time: 0.045137882232666016s,token_num:3804, throughput: 2.4163359600656658 GB/s
e2e shared once time: 0.06721925735473633s,token_num:3731, throughput: 1.5914372786872575 GB/s
e2e shared once time: 0.021291017532348633s,token_num:3704, throughput: 4.9880701022693135 GB/s
e2e shared once time: 0.004492044448852539s,token_num:3705, throughput: 23.648421383527413 GB/s
e2e shared once time: 0.0038597583770751953s,token_num:3935, throughput: 29.230928202685774 GB/s
e2e shared once time: 0.011208534240722656s,token_num:3851, throughput: 9.851053637222156 GB/s
e2e shared once time: 0.00525212287902832s,token_num:3371, throughput: 18.40271338394153 GB/s
e2e shared once time: 0.003943443298339844s,token_num:3866, throughput: 28.10892502160871 GB/s
e2e shared once time: 0.0047037601470947266s,token_num:3778, throughput: 23.02898375184064 GB/s
e2e shared once time: 0.005029201507568359s,token_num:3946, throughput: 22.496555731508867 GB/s
e2e shared once time: 0.0047435760498046875s,token_num:4345, throughput: 26.262852896630477 GB/s
e2e shared once time: 0.006719827651977539s,token_num:4142, throughput: 17.672986592900337 GB/s
e2e shared once time: 0.5196444988250732s,token_num:3739, throughput: 0.2063037485095903 GB/s
e2e shared once time: 0.019186735153198242s,token_num:3880, throughput: 5.798139136842995 GB/s
e2e shared once time: 0.015594244003295898s,token_num:3727, throughput: 6.852563290494534 GB/s
e2e shared once time: 0.014840841293334961s,token_num:3128, throughput: 6.0431894814668015 GB/s
e2e shared once time: 0.017894744873046875s,token_num:3916, throughput: 6.274442737047112 GB/s
e2e shared once time: 0.01773834228515625s,token_num:3258, throughput: 5.266184094224516 GB/s
e2e shared once time: 0.02271723747253418s,token_num:3909, throughput: 4.933647770135198 GB/s
e2e shared once time: 0.023276805877685547s,token_num:4743, throughput: 5.842352112854491 GB/s
e2e shared once time: 0.016257047653198242s,token_num:3604, throughput: 6.356251774883072 GB/s
e2e shared once time: 0.017320871353149414s,token_num:3626, throughput: 6.002277245774725 GB/s
e2e shared once time: 0.04727292060852051s,token_num:3759, throughput: 2.27991092178413 GB/s
e2e shared once time: 0.0029456615447998047s,token_num:4065, throughput: 39.567234126322944 GB/s
e2e shared once time: 0.004275083541870117s,token_num:3783, throughput: 25.37170909940907 GB/s
e2e shared once time: 0.003879070281982422s,token_num:4355, throughput: 32.18981635367179 GB/s
e2e shared once time: 0.003628253936767578s,token_num:3655, throughput: 28.883358724710213 GB/s
e2e shared once time: 0.004765033721923828s,token_num:3243, throughput: 19.513670086359653 GB/s
e2e shared once time: 0.004753589630126953s,token_num:3940, throughput: 23.764710206375767 GB/s
e2e shared once time: 0.004862308502197266s,token_num:3524, throughput: 20.780279152246347 GB/s
e2e shared once time: 0.0050449371337890625s,token_num:3590, throughput: 20.403124413701324 GB/s
e2e shared once time: 0.004220008850097656s,token_num:3867, throughput: 26.273552482581696 GB/s
e2e shared once time: 0.014796018600463867s,token_num:4224, throughput: 8.185345752147343 GB/s
e2e shared once time: 0.004979610443115234s,token_num:3642, throughput: 20.97019941477047 GB/s
e2e shared once time: 0.00786137580871582s,token_num:3754, throughput: 13.691584096598794 GB/s
e2e shared once time: 0.004767417907714844s,token_num:4118, throughput: 24.76629871464213 GB/s
e2e shared once time: 0.005745887756347656s,token_num:3824, throughput: 19.081773374162324 GB/s
e2e shared once time: 0.004197359085083008s,token_num:4071, throughput: 27.808845903802784 GB/s
e2e shared once time: 0.0044248104095458984s,token_num:4105, throughput: 26.59968430423191 GB/s
e2e shared once time: 0.0055310726165771484s,token_num:3035, throughput: 15.732847140569852 GB/s
e2e shared once time: 0.005911827087402344s,token_num:3714, throughput: 18.012672973287305 GB/s
e2e shared once time: 0.005099058151245117s,token_num:3722, throughput: 20.92880309159471 GB/s
e2e shared once time: 0.04368877410888672s,token_num:3816, throughput: 2.504358481822095 GB/s
e2e shared once time: 0.04376220703125s,token_num:3636, throughput: 2.382224276887029 GB/s
e2e shared once time: 0.021145343780517578s,token_num:4385, throughput: 5.945834757051302 GB/s
e2e shared once time: 0.004928112030029297s,token_num:3123, throughput: 18.169768758172424 GB/s
e2e shared once time: 0.00536799430847168s,token_num:3640, throughput: 19.442285889776592 GB/s
e2e shared once time: 0.006071805953979492s,token_num:3222, throughput: 15.214778716611143 GB/s
e2e shared once time: 0.0045125484466552734s,token_num:3971, throughput: 25.23108911648164 GB/s
e2e shared once time: 0.004354953765869141s,token_num:4382, throughput: 28.85006609821614 GB/s
e2e shared once time: 0.005621671676635742s,token_num:3741, throughput: 19.080081187557063 GB/s
e2e shared once time: 0.012166500091552734s,token_num:3217, throughput: 7.581294810003841 GB/s
e2e shared once time: 0.0044498443603515625s,token_num:3489, throughput: 22.480922904030862 GB/s
e2e shared once time: 0.009382963180541992s,token_num:4133, throughput: 12.629419269782849 GB/s
e2e shared once time: 0.26187562942504883s,token_num:3889, throughput: 0.42579528398580463 GB/s
e2e shared once time: 0.015256643295288086s,token_num:3467, throughput: 6.515576334586051 GB/s
e2e shared once time: 0.0038461685180664062s,token_num:3967, throughput: 29.57276142886784 GB/s
e2e shared once time: 0.019072771072387695s,token_num:4225, throughput: 6.351421067250022 GB/s
e2e shared once time: 0.004484653472900391s,token_num:3549, throughput: 22.690031373637 GB/s
e2e shared once time: 0.004431486129760742s,token_num:3929, throughput: 25.4208824537339 GB/s
